City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,-19.71,97,100,21.34,light snow
1,Port Alfred,ZA,-33.5906,26.891,71.33,91,98,4.92,overcast clouds
2,Hokitika,NZ,-42.7167,170.9667,68.54,72,45,6.76,scattered clouds
3,East London,ZA,-33.0153,27.9116,70.16,93,16,2.73,few clouds
4,Mataura,NZ,-46.1927,168.8643,55.47,78,100,5.35,overcast clouds
5,Georgetown,MY,5.4112,100.3354,80.53,76,20,1.01,few clouds
6,Kalulushi,ZM,-12.8378,28.0919,63.34,95,100,1.63,overcast clouds
7,Mitsamiouli,KM,-11.3847,43.2844,82.18,71,93,4.5,overcast clouds
8,Yafran,LY,32.0633,12.5286,50.0,36,0,11.43,clear sky
9,Albany,US,42.6001,-73.9662,29.23,76,44,1.01,scattered clouds
10,Pelym,RU,61.0108,61.9978,-2.43,86,95,6.8,overcast clouds
11,Hasaki,JP,35.7333,140.8333,45.28,39,6,19.24,clear sky
12,Gabu,GW,12.2833,-14.2167,68.32,66,5,3.71,clear sky
13,Yellowknife,CA,62.456,-114.3525,-20.58,92,100,9.48,overcast clouds
14,Arraial Do Cabo,BR,-22.9661,-42.0278,74.97,92,100,24.18,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,74.48,76,100,15.46,overcast clouds
16,Kodiak,US,57.79,-152.4072,36.91,70,90,20.71,light rain
17,Zhigansk,RU,66.7697,123.3711,-55.82,100,64,3.06,broken clouds
18,Wenling,CN,28.3669,121.36,59.92,82,100,2.95,overcast clouds
19,Jamestown,US,42.097,-79.2353,35.19,47,1,5.99,clear sky
20,Laguna,US,38.421,-121.4238,56.46,87,90,0.0,overcast clouds
21,Catole Do Rocha,BR,-6.3439,-37.7467,78.64,67,100,4.79,overcast clouds
22,Mahebourg,MU,-20.4081,57.7,76.24,81,68,8.34,broken clouds
23,Bluff,NZ,-46.6,168.3333,55.8,71,100,4.7,overcast clouds
24,Tuktoyaktuk,CA,69.4541,-133.0374,-22.25,99,45,10.16,scattered clouds
25,Ilulissat,GL,69.2167,-51.1,39.22,33,100,31.07,overcast clouds
26,Buala,SB,-8.145,159.5921,85.82,69,96,8.21,light rain
27,Hermanus,ZA,-34.4187,19.2345,62.91,82,8,7.47,clear sky
28,Bambous Virieux,MU,-20.3428,57.7575,76.21,81,73,8.3,broken clouds
29,Makinsk,KZ,52.6292,70.4169,-3.57,94,100,10.07,overcast clouds
30,Cape Town,ZA,-33.9258,18.4232,63.12,83,0,1.48,clear sky
31,Puerto Ayora,EC,-0.7393,-90.3518,70.75,87,100,5.61,overcast clouds
32,Simdega,IN,22.6167,84.5167,57.87,50,1,3.31,clear sky
33,Saskylakh,RU,71.9167,114.0833,-41.49,96,26,10.58,scattered clouds
34,Chokurdakh,RU,70.6333,147.9167,-21.41,98,100,6.42,overcast clouds
35,Tiksi,RU,71.6872,128.8694,-37.5,97,42,6.24,scattered clouds
36,Beloha,MG,-25.1667,45.05,72.88,90,78,11.61,broken clouds
37,Haimen,CN,23.1935,116.6142,65.05,78,83,8.99,broken clouds
38,Thompson,CA,55.7435,-97.8558,-16.98,99,68,4.68,broken clouds
39,Santa Ines,BR,-3.6667,-45.38,73.13,98,64,2.53,broken clouds
40,Punta Arenas,CL,-53.15,-70.9167,46.51,71,0,13.8,clear sky
41,Nikolskoye,RU,59.7035,30.7861,35.87,99,100,4.63,light snow
42,Burghausen,DE,48.1667,12.8333,43.29,30,100,8.12,overcast clouds
43,Ushuaia,AR,-54.8,-68.3,40.66,75,20,3.44,few clouds
44,Iqaluit,CA,63.7506,-68.5145,2.93,78,90,17.27,light snow
45,Cananeia,BR,-25.0147,-47.9267,74.73,97,100,1.86,moderate rain
46,Yeppoon,AU,-23.1333,150.7333,92.98,55,5,11.39,clear sky
47,Saint-Augustin,CA,51.226,-58.6502,-0.2,78,100,12.28,overcast clouds
48,Kibaya,TZ,-5.3,36.5667,57.78,97,94,2.06,overcast clouds
49,Tilichiki,RU,60.4667,166.1,18.45,91,97,8.93,overcast clouds
50,Airai,TL,-8.9266,125.4092,69.82,78,99,2.91,overcast clouds
51,Vestmannaeyjar,IS,63.4427,-20.2734,37.0,67,100,27.49,overcast clouds
52,Bukoba,TZ,-1.3317,31.8122,66.72,77,100,4.29,overcast clouds
53,Ponta Do Sol,PT,32.6667,-17.1,61.72,64,8,7.81,clear sky
54,Hithadhoo,MV,-0.6,73.0833,81.73,72,100,3.2,overcast clouds
55,Nyurba,RU,63.2842,118.3319,-51.43,100,86,2.8,overcast clouds
56,Souillac,MU,-20.5167,57.5167,76.35,84,20,7.63,few clouds
57,Necochea,AR,-38.5473,-58.7368,61.03,64,0,9.19,clear sky
58,Bratsk,RU,56.1325,101.6142,9.09,98,48,3.6,scattered clouds
59,Hilo,US,19.7297,-155.09,80.33,76,20,10.36,light rain
60,Seguin,US,29.5688,-97.9647,58.8,69,1,1.99,clear sky
