City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bengkulu,ID,2021-12-23 04:57:45,-3.8004,102.2655,80.31,81,86,12.15
1,Delijan,IR,2021-12-23 04:57:46,33.9905,50.6838,40.91,35,1,3.98
2,Rikitea,PF,2021-12-23 04:57:46,-23.1203,-134.9692,77.45,77,85,7.11
3,Avarua,CK,2021-12-23 04:57:47,-21.2078,-159.775,73.45,94,75,13.8
4,Kapaa,US,2021-12-23 04:57:47,22.0752,-159.319,72.12,72,93,3.0
5,Saint George,US,2021-12-23 04:57:48,37.1041,-113.5841,50.32,62,97,0.58
6,Camacha,PT,2021-12-23 04:57:48,33.0833,-16.3333,63.54,88,40,2.3
7,Nanortalik,GL,2021-12-23 04:57:48,60.1432,-45.2371,35.46,72,100,9.08
8,Constitucion,CL,2021-12-23 04:57:49,-35.3333,-72.4167,55.38,89,69,5.3
9,Anadyr,RU,2021-12-23 04:57:49,64.75,177.4833,5.5,85,90,4.47
10,Qaanaaq,GL,2021-12-23 04:57:50,77.484,-69.3632,29.01,59,97,16.58
11,Hermanus,ZA,2021-12-23 04:57:50,-34.4187,19.2345,67.89,83,100,14.97
12,Albany,US,2021-12-23 04:56:02,42.6001,-73.9662,29.75,58,56,3.0
13,Cape Town,ZA,2021-12-23 04:57:35,-33.9258,18.4232,68.11,79,20,4.0
14,Coquimbo,CL,2021-12-23 04:57:51,-29.9533,-71.3436,60.53,88,90,3.44
15,New Norfolk,AU,2021-12-23 04:57:51,-42.7826,147.0587,66.9,32,63,1.99
16,Guerrero Negro,MX,2021-12-23 04:53:31,27.9769,-114.0611,62.35,75,100,6.98
17,Marsh Harbour,BS,2021-12-23 04:57:52,26.5412,-77.0636,70.09,65,96,15.5
18,Barrow,US,2021-12-23 04:57:52,71.2906,-156.7887,-15.75,100,94,7.18
19,Butaritari,KI,2021-12-23 04:57:53,3.0707,172.7902,81.39,77,99,6.04
20,Rabo De Peixe,PT,2021-12-23 04:57:53,37.8,-25.5833,62.11,96,75,29.93
21,Honiara,SB,2021-12-23 04:54:30,-9.4333,159.95,83.98,75,94,4.97
22,Pokosnoye,RU,2021-12-23 04:57:54,55.5258,101.0536,-14.17,87,10,3.83
23,Mahebourg,MU,2021-12-23 04:57:54,-20.4081,57.7,81.25,89,75,13.8
24,Kulu,TR,2021-12-23 04:57:55,39.0951,33.0799,17.65,87,84,5.35
25,Santo Antonio Da Platina,BR,2021-12-23 04:57:55,-23.295,-50.0772,67.5,95,49,3.31
26,Sakakah,SA,2021-12-23 04:57:56,29.9697,40.2064,38.77,52,1,2.39
27,Mont-Dore,NC,2021-12-23 04:57:56,-22.2833,166.5833,86.0,99,39,12.35
28,Ozernovskiy,RU,2021-12-23 04:57:57,51.5,156.5167,27.66,82,100,19.28
29,Victoria,HK,2021-12-23 04:54:18,22.2855,114.1577,73.45,75,99,1.01
30,Portland,US,2021-12-23 04:56:27,45.5234,-122.6762,48.69,93,90,3.0
31,Bulgan,MN,2021-12-23 04:57:57,48.8125,103.5347,6.6,86,97,3.44
32,Busselton,AU,2021-12-23 04:57:58,-33.65,115.3333,85.15,39,27,12.75
33,Half Moon Bay,US,2021-12-23 04:57:58,37.4636,-122.4286,59.52,96,90,1.99
34,Bredasdorp,ZA,2021-12-23 04:57:59,-34.5322,20.0403,64.27,82,100,12.66
35,Thompson,CA,2021-12-23 04:56:40,55.7435,-97.8558,-36.24,74,1,2.3
36,Bluff,NZ,2021-12-23 04:57:59,-46.6,168.3333,59.81,64,17,22.5
37,Mataura,NZ,2021-12-23 04:58:00,-46.1927,168.8643,59.49,55,96,6.29
38,Norman Wells,CA,2021-12-23 04:58:00,65.282,-126.8329,-16.56,69,75,4.61
